EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-04-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 116304) of station Poprad/Tatry, SLOVAKIA (STAID:    334)

 STAID,    SOUID,    DATE,   RR, Q_RR
   334,116304,19510926,   38,    0
   334,116304,19510927,  115,    0
   334,116304,19510928,   73,    0
   334,116304,19510929,    8,    0
   334,116304,19510930,    0,    0
   334,116304,19511001,    0,    0
   334,116304,19511002,    0,    0
   334,116304,19511003,    0,    0
   334,116304,19511004,    1,    0
   334,116304,19511005,    6,    0
   334,116304,19511006,    0,    0
   334,116304,19511007,    0,    0
   334,116304,19511008,    0,    0
   334,116304,19511009,    0,    0
   334,116304,19511010,    0,    0
   334,116304,19511011,    0,    0
   334,116304,19511012,    0,    0
   334,116304,19511013,    0,    0
   334,116304,19511014,    0,    0
   334,116304,19511015,    0,    0
   334,116304,19511016,    0,    0
   334,116304,19511017,    0,    0
   334,116304,19511018,    0,    0
   334,116304,19511019,    0,    0
   334,116304,19511020,    0,    0
   334,116304,19511021,    3,    0
   334,116304,19511022,    0,    0
   334,116304,19511023,    0,    0
   334,116304,19511024,    1,    0
   334,116304,19511025,    0,    0
   334,116304,19511026,    0,    0
   334,116304,19511027,    0,    0
   334,116304,19511028,    0,    0
   334,116304,19511029,    0,    0
   334,116304,19511030,    0,    0
   334,116304,19511031,    0,    0
   334,116304,19511101,   21,    0
   334,116304,19511102,   16,    0
   334,116304,19511103,    0,    0
   334,116304,19511104,    0,    0
   334,116304,19511105,    0,    0
   334,116304,19511106,    0,    0
   334,116304,19511107,    0,    0
   334,116304,19511108,    0,    0
   334,116304,19511109,    0,    0
   334,116304,19511110,    0,    0
   334,116304,19511111,    0,    0
   334,116304,19511112,    5,    0
   334,116304,19511113,  122,    0
   334,116304,19511114,    2,    0
   334,116304,19511115,    0,    0
   334,116304,19511116,    0,    0
   334,116304,19511117,    0,    0
   334,116304,19511118,    0,    0
   334,116304,19511119,    0,    0
   334,116304,19511120,    0,    0
   334,116304,19511121,   10,    0
   334,116304,19511122,   30,    0
   334,116304,19511123,   62,    0
   334,116304,19511124,    1,    0
   334,116304,19511125,    6,    0
   334,116304,19511126,    0,    0
   334,116304,19511127,    4,    0
   334,116304,19511128,    0,    0
   334,116304,19511129,    1,    0
   334,116304,19511130,   40,    0
   334,116304,19511201,    0,    0
   334,116304,19511202,    0,    0
   334,116304,19511203,   15,    0
   334,116304,19511204,   16,    0
   334,116304,19511205,    0,    0
   334,116304,19511206,    0,    0
   334,116304,19511207,    2,    0
   334,116304,19511208,    0,    0
   334,116304,19511209,    7,    0
   334,116304,19511210,   10,    0
   334,116304,19511211,   11,    0
   334,116304,19511212,    2,    0
   334,116304,19511213,   17,    0
   334,116304,19511214,    0,    0
   334,116304,19511215,    0,    0
   334,116304,19511216,    0,    0
   334,116304,19511217,    0,    0
   334,116304,19511218,    0,    0
   334,116304,19511219,    0,    0
   334,116304,19511220,    0,    0
   334,116304,19511221,    0,    0
   334,116304,19511222,    0,    0
   334,116304,19511223,    0,    0
   334,116304,19511224,    0,    0
   334,116304,19511225,    0,    0
   334,116304,19511226,    0,    0
   334,116304,19511227,    3,    0
